

  436 Troiïsissms Livre 
habilesè faucer À quatre pieds:quant à moyie 
me puis penferque celà fe Paie Aire fans l'aide 
des Genies, non plus que celte grand’ quantité 
de Grenouilles, qui fuft excitée deuant le 
d'Egypte , & la conuerfion des verges en ſer. 
pemts.;. — E 
    
  
     
  
   
  
    
   
    
    
   
    
     
     
     
   
Des ſortez des Serpents, € combien chacune comprend d'eihèces, 
SeEcrioN VL 
T # Qui font les efpeces des Serpents?Mr. 

Le Laifard , le Chameleon , le Typhlops, l 
Cnerlydre,le Dragon ou Coleuure;la Scychak, 
laquelle on dit n'avoir point de venin, l’'Hemor 
rhois, le Seps, le Dipfas, le Bailic, l'Amphift«. 
ne, la Flefche, la Vipere, V Afpic, la Cenchrene, 
la Salamandre, le Crapaud ; chacun defquels ; 
encor’ par dcífoubs foy plufieurs autres efpc- 
ces, comme l'Afpic , qui en a trois,à fcauoit |: 
Cheríée, la Chelidoine, & le Pryas ; defquelles 
la premiere fait mourir dans trois heures,la fc. 
€onde dans moins quc rien , là troifiefme plus 
tard que les autres : or toutes les morſures des 
Serpents fonc prefque toutes mortelles à l'hé- 
me, fi on n'y apporte remede foudainement 
quan: aux Afpics , on ny peut apporter aur 
ecours,finon que de promptement retrencher 
leur morſure : toutesfois on tient que celth 
pus douce mort de toutes, que de mourir pr 
eur moyen:voilà pourquoy on dit que Cleope 
tra vouluft mourir de la morfure de l' Afpic né 

mé Pryas, 1l fait defcendre vn fort lét 
€ Pryas, parce qu c ^. 

     | StcTioN VI.
5	1	2	1	1	4	1125	86	91	44	94.643463	437
4	1	2	1	2	0	77	138	1140	70	-1	
5	1	2	1	2	1	77	143	170	59	41.901318	ſommeil
5	1	2	1	2	2	262	138	71	50	95.772148	fur
5	1	2	1	2	3	346	141	43	47	82.425896	la
5	1	2	1	2	4	413	139	246	69	93.028839	perfonnc,
5	1	2	1	2	5	673	148	81	59	96.709679	qui
5	1	2	1	2	6	770	162	58	30	96.979767	en
5	1	2	1	2	7	850	161	26	31	93.175583	a
5	1	2	1	2	8	893	144	92	47	90.164871	efté
5	1	2	1	2	9	1004	146	213	46	92.257843	morduc:
4	1	2	1	3	0	78	204	1139	72	-1	
5	1	2	1	3	1	74	200	54	80	94.310425	ar
5	1	2	1	3	2	142	210	168	54	95.738716	chacun
5	1	2	1	3	3	328	207	196	69	96.720634	Serpent
5	1	2	1	3	4	546	224	26	29	92.312912	a
5	1	2	1	3	5	595	204	43	50	92.312912	fa
5	1	2	1	3	6	659	206	175	49	90.497040	diuerfe
5	1	2	1	3	7	855	207	140	65	96.725037	façon
5	1	2	1	3	8	1025	209	57	45	73.802544	dc
5	1	2	1	3	9	1105	208	112	48	96.074890	faire
4	1	2	1	4	0	78	275	629	69	-1	
5	1	2	1	4	1	78	277	139	57	96.382080	mourir
5	1	2	1	4	2	238	288	81	56	96.911842	par
5	1	2	1	4	3	340	277	44	43	87.596420	fa
5	1	2	1	4	4	407	275	267	67	75.749023	picqucure,
5	1	2	1	4	5	705	298	2	2	73.908783	|
4	1	2	1	5	0	131	339	1086	66	-1	
5	1	2	1	5	1	131	349	37	43	93.225693	T
5	1	2	1	5	2	185	360	43	27	88.715103	#.
5	1	2	1	5	3	251	345	55	43	96.933548	Et
5	1	2	1	5	4	326	340	181	62	95.207855	quelle?
